/home/lsc/serial_bfs/log/con/runcon76323, solver: z3, result: unsat, time:0.2779426574707031
/home/lsc/serial_bfs/log/con/runcon74640, solver: z3, result: unsat, time:0.2408280372619629
/home/lsc/serial_bfs/log/con/runcon76304, solver: z3, result: unsat, time:0.279160737991333
/home/lsc/serial_bfs/log/con/runcon69600, solver: z3, result: unsat, time:0.06509137153625488
/home/lsc/serial_bfs/log/con/runcon72592, solver: z3, result: unsat, time:0.20630145072937012
/home/lsc/serial_bfs/log/con/runcon76117, solver: z3, result: unsat, time:0.2425830364227295
/home/lsc/serial_bfs/log/con/runcon72626, solver: z3, result: unsat, time:0.1870107650756836
/home/lsc/serial_bfs/log/con/runcon69577, solver: z3, result: unsat, time:0.06209897994995117
/home/lsc/serial_bfs/log/con/runcon71263, solver: z3, result: unsat, time:0.18124938011169434
/home/lsc/serial_bfs/log/con/runcon72619, solver: z3, result: unsat, time:0.20965957641601562
/home/lsc/serial_bfs/log/con/runcon71278, solver: z3, result: unsat, time:0.17015981674194336
/home/lsc/serial_bfs/log/con/runcon76109, solver: z3, result: unsat, time:0.2939023971557617
/home/lsc/serial_bfs/log/con/runcon72636, solver: z3, result: unsat, time:0.18905401229858398
/home/lsc/serial_bfs/log/con/runcon72580, solver: z3, result: unsat, time:0.18544483184814453
/home/lsc/serial_bfs/log/con/runcon74599, solver: z3, result: unsat, time:0.2261981964111328
/home/lsc/serial_bfs/log/con/runcon71275, solver: z3, result: unsat, time:0.24695134162902832
/home/lsc/serial_bfs/log/con/runcon72611, solver: z3, result: unsat, time:0.18861126899719238
/home/lsc/serial_bfs/log/con/runcon69593, solver: z3, result: unsat, time:0.062155723571777344
/home/lsc/serial_bfs/log/con/runcon72620, solver: z3, result: unsat, time:0.18875455856323242
/home/lsc/serial_bfs/log/con/runcon76301, solver: z3, result: unsat, time:0.26471829414367676
/home/lsc/serial_bfs/log/con/runcon76412, solver: z3, result: unsat, time:0.36278629302978516
/home/lsc/serial_bfs/log/con/runcon76288, solver: z3, result: unsat, time:0.2611813545227051
/home/lsc/serial_bfs/log/con/runcon76291, solver: z3, result: unsat, time:0.2653970718383789
/home/lsc/serial_bfs/log/con/runcon72631, solver: z3, result: unsat, time:0.18586111068725586
/home/lsc/serial_bfs/log/con/runcon73778, solver: z3, result: unsat, time:0.20584845542907715
/home/lsc/serial_bfs/log/con/runcon76330, solver: z3, result: unsat, time:0.25429677963256836
/home/lsc/serial_bfs/log/con/runcon76105, solver: z3, result: unsat, time:0.2382652759552002
/home/lsc/serial_bfs/log/con/runcon72623, solver: z3, result: unsat, time:0.20048260688781738
/home/lsc/serial_bfs/log/con/runcon71296, solver: z3, result: unsat, time:0.20843219757080078
/home/lsc/serial_bfs/log/con/runcon71281, solver: z3, result: unsat, time:0.18375658988952637
/home/lsc/serial_bfs/log/con/runcon73775, solver: z3, result: unsat, time:0.29650235176086426
/home/lsc/serial_bfs/log/con/runcon74630, solver: z3, result: unsat, time:0.22586536407470703
/home/lsc/serial_bfs/log/con/runcon74592, solver: z3, result: unsat, time:0.22609972953796387
/home/lsc/serial_bfs/log/con/runcon71282, solver: z3, result: unsat, time:0.1633744239807129
/home/lsc/serial_bfs/log/con/runcon74595, solver: z3, result: unsat, time:0.21817326545715332
/home/lsc/serial_bfs/log/con/runcon73749, solver: z3, result: unsat, time:0.20593500137329102
/home/lsc/serial_bfs/log/con/runcon72613, solver: z3, result: unsat, time:0.18944716453552246
/home/lsc/serial_bfs/log/con/runcon74602, solver: z3, result: unsat, time:0.22410964965820312
/home/lsc/serial_bfs/log/con/runcon71253, solver: z3, result: unsat, time:0.17618799209594727
/home/lsc/serial_bfs/log/con/runcon71261, solver: z3, result: unsat, time:0.17003655433654785
/home/lsc/serial_bfs/log/con/runcon74606, solver: z3, result: unsat, time:0.224412202835083
/home/lsc/serial_bfs/log/con/runcon71268, solver: z3, result: unsat, time:0.17096948623657227
/home/lsc/serial_bfs/log/con/runcon73745, solver: z3, result: unsat, time:0.21769976615905762
/home/lsc/serial_bfs/log/con/runcon76108, solver: z3, result: unsat, time:0.2397780418395996
/home/lsc/serial_bfs/log/con/runcon73737, solver: z3, result: unsat, time:0.21326923370361328
/home/lsc/serial_bfs/log/con/runcon73736, solver: z3, result: unsat, time:0.20656991004943848
/home/lsc/serial_bfs/log/con/runcon77308, solver: z3, result: unsat, time:0.27535414695739746
/home/lsc/serial_bfs/log/con/runcon69578, solver: z3, result: unsat, time:0.0632028579711914
/home/lsc/serial_bfs/log/con/runcon72589, solver: z3, result: unsat, time:0.18741893768310547
/home/lsc/serial_bfs/log/con/runcon76090, solver: z3, result: unsat, time:0.24094128608703613
/home/lsc/serial_bfs/log/con/runcon76305, solver: z3, result: unsat, time:0.2559051513671875
/home/lsc/serial_bfs/log/con/runcon76335, solver: z3, result: unsat, time:0.2539846897125244
/home/lsc/serial_bfs/log/con/runcon71276, solver: z3, result: unsat, time:0.24851703643798828
/home/lsc/serial_bfs/log/con/runcon71291, solver: z3, result: unsat, time:0.1693572998046875
/home/lsc/serial_bfs/log/con/runcon69599, solver: z3, result: unsat, time:0.06143617630004883
/home/lsc/serial_bfs/log/con/runcon71297, solver: z3, result: unsat, time:0.2086474895477295
/home/lsc/serial_bfs/log/con/runcon73735, solver: z3, result: unsat, time:0.20924758911132812
/home/lsc/serial_bfs/log/con/runcon72606, solver: z3, result: unsat, time:0.19006991386413574
/home/lsc/serial_bfs/log/con/runcon74626, solver: z3, result: unsat, time:0.2261662483215332
/home/lsc/serial_bfs/log/con/runcon76114, solver: z3, result: unsat, time:0.24883794784545898
/home/lsc/serial_bfs/log/con/runcon76328, solver: z3, result: unsat, time:0.2620351314544678
/home/lsc/serial_bfs/log/con/runcon76127, solver: z3, result: unsat, time:0.2459573745727539
/home/lsc/serial_bfs/log/con/runcon76308, solver: z3, result: unsat, time:0.27669453620910645
/home/lsc/serial_bfs/log/con/runcon77309, solver: z3, result: unsat, time:0.2838284969329834
/home/lsc/serial_bfs/log/con/runcon71258, solver: z3, result: unsat, time:0.22931337356567383
/home/lsc/serial_bfs/log/con/runcon72593, solver: z3, result: unsat, time:0.18788552284240723
/home/lsc/serial_bfs/log/con/runcon76321, solver: z3, result: unsat, time:0.26304030418395996
/home/lsc/serial_bfs/log/con/runcon76306, solver: z3, result: unsat, time:0.2631666660308838
/home/lsc/serial_bfs/log/con/runcon73764, solver: z3, result: unsat, time:0.204664945602417
/home/lsc/serial_bfs/log/con/runcon76125, solver: z3, result: unsat, time:0.24152445793151855
/home/lsc/serial_bfs/log/con/runcon76320, solver: z3, result: unsat, time:0.25786399841308594
/home/lsc/serial_bfs/log/con/runcon73774, solver: z3, result: unsat, time:0.21565961837768555
/home/lsc/serial_bfs/log/con/runcon72603, solver: z3, result: unsat, time:0.1957094669342041
/home/lsc/serial_bfs/log/con/runcon73754, solver: z3, result: unsat, time:0.20740771293640137
/home/lsc/serial_bfs/log/con/runcon72584, solver: z3, result: unsat, time:0.18565893173217773
/home/lsc/serial_bfs/log/con/runcon71252, solver: z3, result: unsat, time:0.18309831619262695
/home/lsc/serial_bfs/log/con/runcon76343, solver: z3, result: unsat, time:0.25999999046325684
/home/lsc/serial_bfs/log/con/runcon71287, solver: z3, result: unsat, time:0.17728066444396973
/home/lsc/serial_bfs/log/con/runcon72602, solver: z3, result: unsat, time:0.190598726272583
/home/lsc/serial_bfs/log/con/runcon76094, solver: z3, result: unsat, time:0.271742582321167
/home/lsc/serial_bfs/log/con/runcon76088, solver: z3, result: unsat, time:0.24958157539367676
/home/lsc/serial_bfs/log/con/runcon69583, solver: z3, result: unsat, time:0.062497615814208984
/home/lsc/serial_bfs/log/con/runcon73783, solver: z3, result: unsat, time:0.20661330223083496
/home/lsc/serial_bfs/log/con/runcon76143, solver: z3, result: unsat, time:0.2449042797088623
/home/lsc/serial_bfs/log/con/runcon73746, solver: z3, result: unsat, time:0.20497870445251465
/home/lsc/serial_bfs/log/con/runcon76345, solver: z3, result: unsat, time:0.26436710357666016
/home/lsc/serial_bfs/log/con/runcon74638, solver: z3, result: unsat, time:0.2252805233001709
/home/lsc/serial_bfs/log/con/runcon74646, solver: z3, result: unsat, time:0.3565177917480469
/home/lsc/serial_bfs/log/con/runcon76325, solver: z3, result: unsat, time:0.26740407943725586
/home/lsc/serial_bfs/log/con/runcon71279, solver: z3, result: unsat, time:0.23619461059570312
/home/lsc/serial_bfs/log/con/runcon71301, solver: z3, result: unsat, time:0.24705243110656738
/home/lsc/serial_bfs/log/con/runcon72634, solver: z3, result: unsat, time:0.18591880798339844
/home/lsc/serial_bfs/log/con/runcon71256, solver: z3, result: unsat, time:0.2478034496307373
/home/lsc/serial_bfs/log/con/runcon69605, solver: z3, result: unsat, time:0.06309032440185547
/home/lsc/serial_bfs/log/con/runcon73765, solver: z3, result: unsat, time:0.2107105255126953
/home/lsc/serial_bfs/log/con/runcon72608, solver: z3, result: unsat, time:0.18650531768798828
/home/lsc/serial_bfs/log/con/runcon76142, solver: z3, result: unsat, time:0.2465839385986328
/home/lsc/serial_bfs/log/con/runcon76107, solver: z3, result: unsat, time:0.24669241905212402
/home/lsc/serial_bfs/log/con/runcon76313, solver: z3, result: unsat, time:0.26473069190979004
/home/lsc/serial_bfs/log/con/runcon74631, solver: z3, result: unsat, time:0.22368335723876953
/home/lsc/serial_bfs/log/con/runcon74615, solver: z3, result: unsat, time:0.22521519660949707
/home/lsc/serial_bfs/log/con/runcon76310, solver: z3, result: unsat, time:0.2617158889770508
/home/lsc/serial_bfs/log/con/runcon74637, solver: z3, result: unsat, time:0.2278909683227539
/home/lsc/serial_bfs/log/con/runcon71266, solver: z3, result: unsat, time:0.2339470386505127
/home/lsc/serial_bfs/log/con/runcon74612, solver: z3, result: unsat, time:0.21924829483032227
/home/lsc/serial_bfs/log/con/runcon71289, solver: z3, result: unsat, time:0.16920137405395508
/home/lsc/serial_bfs/log/con/runcon76118, solver: z3, result: unsat, time:0.3063931465148926
/home/lsc/serial_bfs/log/con/dir488512, solver: z3, result: unknown, time:300.16576194763184
/home/lsc/serial_bfs/log/con/runcon73758, solver: z3, result: unsat, time:0.20119071006774902
/home/lsc/serial_bfs/log/con/runcon72581, solver: z3, result: unsat, time:0.18787574768066406
/home/lsc/serial_bfs/log/con/runcon76102, solver: z3, result: unsat, time:0.2373201847076416
/home/lsc/serial_bfs/log/con/runcon71303, solver: z3, result: unsat, time:0.16755318641662598
/home/lsc/serial_bfs/log/con/runcon72588, solver: z3, result: unsat, time:0.1944103240966797
/home/lsc/serial_bfs/log/con/runcon74624, solver: z3, result: unsat, time:0.2226266860961914
/home/lsc/serial_bfs/log/con/runcon72600, solver: z3, result: unsat, time:0.19153451919555664
/home/lsc/serial_bfs/log/con/runcon76099, solver: z3, result: unsat, time:0.2603585720062256
/home/lsc/serial_bfs/log/con/runcon73762, solver: z3, result: unsat, time:0.20964574813842773
/home/lsc/serial_bfs/log/con/runcon74608, solver: z3, result: unsat, time:0.23138427734375
/home/lsc/serial_bfs/log/con/runcon71283, solver: z3, result: unsat, time:0.1751868724822998
/home/lsc/serial_bfs/log/con/runcon73753, solver: z3, result: unsat, time:0.20847821235656738
/home/lsc/serial_bfs/log/con/runcon69584, solver: z3, result: unsat, time:0.0613558292388916
/home/lsc/serial_bfs/log/con/runcon71300, solver: z3, result: unsat, time:0.1951732635498047
/home/lsc/serial_bfs/log/con/runcon72610, solver: z3, result: unsat, time:0.1927807331085205
/home/lsc/serial_bfs/log/con/runcon76297, solver: z3, result: unsat, time:0.2724275588989258
/home/lsc/serial_bfs/log/con/runcon73756, solver: z3, result: unsat, time:0.21115922927856445
/home/lsc/serial_bfs/log/con/runcon72594, solver: z3, result: unsat, time:0.19447922706604004
/home/lsc/serial_bfs/log/con/runcon74622, solver: z3, result: unsat, time:0.23363661766052246
/home/lsc/serial_bfs/log/con/runcon76333, solver: z3, result: unsat, time:0.2673649787902832
/home/lsc/serial_bfs/log/con/runcon76319, solver: z3, result: unsat, time:0.26259660720825195
/home/lsc/serial_bfs/log/con/runcon74633, solver: z3, result: unsat, time:0.22054457664489746
/home/lsc/serial_bfs/log/con/runcon73757, solver: z3, result: unsat, time:0.2135164737701416
/home/lsc/serial_bfs/log/con/runcon76093, solver: z3, result: unsat, time:0.24544048309326172
/home/lsc/serial_bfs/log/con/runcon72617, solver: z3, result: unsat, time:0.1860945224761963
/home/lsc/serial_bfs/log/con/runcon69585, solver: z3, result: unsat, time:0.06454944610595703
/home/lsc/serial_bfs/log/con/runcon71290, solver: z3, result: unsat, time:0.1704261302947998
/home/lsc/serial_bfs/log/con/runcon76128, solver: z3, result: unsat, time:0.24443793296813965
/home/lsc/serial_bfs/log/con/runcon71273, solver: z3, result: unsat, time:0.24385428428649902
/home/lsc/serial_bfs/log/con/runcon73743, solver: z3, result: unsat, time:0.2073802947998047
/home/lsc/serial_bfs/log/con/runcon77312, solver: z3, result: unsat, time:0.276458740234375
/home/lsc/serial_bfs/log/con/runcon76116, solver: z3, result: unsat, time:0.25868892669677734
/home/lsc/serial_bfs/log/con/runcon69594, solver: z3, result: unsat, time:0.06343555450439453
/home/lsc/serial_bfs/log/con/runcon72706, solver: z3, result: unsat, time:0.28996825218200684
/home/lsc/serial_bfs/log/con/runcon73770, solver: z3, result: unsat, time:0.21109771728515625
/home/lsc/serial_bfs/log/con/runcon71306, solver: z3, result: unsat, time:0.21510696411132812
/home/lsc/serial_bfs/log/con/runcon71284, solver: z3, result: unsat, time:0.24091768264770508
/home/lsc/serial_bfs/log/con/runcon72601, solver: z3, result: unsat, time:0.18839812278747559
/home/lsc/serial_bfs/log/con/runcon76309, solver: z3, result: unsat, time:0.26329874992370605
/home/lsc/serial_bfs/log/con/runcon76098, solver: z3, result: unsat, time:0.2596781253814697
/home/lsc/serial_bfs/log/con/runcon73776, solver: z3, result: unsat, time:0.4185676574707031
/home/lsc/serial_bfs/log/con/runcon74642, solver: z3, result: unsat, time:0.26622533798217773
/home/lsc/serial_bfs/log/con/runcon74617, solver: z3, result: unsat, time:0.24575090408325195
